nIter,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos_Pred_Value,Neg_Pred_Value,Precision,Recall,F1,Detection_Rate,Balanced_Accuracy,logLoss,AUC,MCC,AccuracySD,KappaSD,AccuracyLowerSD,AccuracyUpperSD,AccuracyPValueSD,McnemarPValueSD,SensitivitySD,SpecificitySD,Pos_Pred_ValueSD,Neg_Pred_ValueSD,PrecisionSD,RecallSD,F1SD,Detection_RateSD,Balanced_AccuracySD,logLossSD,AUCSD,MCCSD
11,0.659361767548281,0.315343895031807,0.649890987727255,0.668737949278024,1.12634795545303e-95,0,0.478320977092398,0.763166802023171,0.797615218595679,0.872064877175152,0.797615218595679,0.478320977092398,0.478802523367395,0.219787255849427,0.620743889557785,0.495823354848949,0.654399334586761,0.395163240027104,0.00433131563507956,0.0187156248750788,0.00439376107198638,0.00426787257985014,6.1692563064999e-95,0,0.0089032394822902,0.0066761060141797,0.00320164221328694,0.0012377939879016,0.00320164221328694,0.0089032394822902,0.0101205195464418,0.00144377187835985,0.00775136794469087,0.0146036709372246,0.00476685367625579,0.0142484819073512
21,0.662330579733827,0.329802660674286,0.652742423557022,0.671819441662129,1.42800756823982e-124,0,0.485639222552602,0.768288527490416,0.797782749907709,0.870661449902084,0.797782749907709,0.485639222552602,0.487334228540128,0.220776859911276,0.626963875021509,0.504238837176123,0.664891176508821,0.404985349754067,0.00443743407832692,0.0137194996001108,0.00434241666333225,0.00453524442854181,7.82151957408558e-124,0,0.00746904388150318,0.0047661757189847,0.00434368550826142,0.00463216104070459,0.00434368550826143,0.00746904388150318,0.0095619088043895,0.00147914469277564,0.00608904570211663,0.0128378836498416,0.00664614722587249,0.00952217152966131
31,0.660641849493033,0.31615022239859,0.651044834496903,0.67014068370452,1.10083062467646e-102,0,0.479637883655002,0.763153473054738,0.798353848939394,0.872730921041305,0.798353848939394,0.479637883655002,0.48173324401202,0.220213949831011,0.62139567835487,0.499948991158834,0.660312053128454,0.396486447623384,0.00534951542615388,0.0173061434369717,0.00529138281073739,0.00540440581541927,6.02949764702922e-102,0,0.00883827748986159,0.00591486837276581,0.0045896271876014,0.00116204752730164,0.00458962718760149,0.00883827748986159,0.0109832274498181,0.00178317180871796,0.00732482743328861,0.00825693735885593,0.0066125435433394,0.0138006312036039
41,0.661772345306799,0.326251978608362,0.652272830219603,0.671174852583932,2.68434234707408e-127,0,0.483703811243149,0.766963374199911,0.797406910895035,0.871837828229982,0.797406910895035,0.483703811243149,0.485131440046573,0.220590781768933,0.62533359272153,0.50034087676574,0.663659908466223,0.403396584250845,0.00409956911492726,0.0108927240275689,0.00405549193925326,0.00414504551886586,1.47027485555883e-126,0,0.00613723550483092,0.00361575261433537,0.00521627687056656,0.00206584425444985,0.00521627687056657,0.00613723550483092,0.00831680649014752,0.00136652303830909,0.00482732890826237,0.00759305018968353,0.00765423940314017,0.0090664720272256
51,0.659674401637293,0.315981136994197,0.650156025469736,0.669096980154356,2.6002546852017e-106,0,0.479308551901304,0.763252690832,0.797129619657692,0.872185295066664,0.797129619657692,0.479308551901304,0.480691590623652,0.219891467212431,0.621280621366652,0.497331420519492,0.65722014187964,0.395971952043579,0.00361750254541933,0.0132759714011489,0.0036424176762369,0.00359393162156934,1.40798580132346e-105,0,0.00663205544384966,0.00473453503927963,0.00429432775370365,0.00136656367327513,0.00429432775370366,0.00663205544384966,0.00797835185633931,0.00120583418180644,0.00562691383289568,0.0130768267266304,0.00542719022796044,0.0102120865480518
61,0.661506158485571,0.324185501839507,0.651974485391967,0.670940432581073,4.47910298510517e-116,0,0.482955035353425,0.766167712280219,0.79847697765294,0.872312218467379,0.79847697765294,0.482955035353425,0.484608386975391,0.220502052828524,0.624561373816822,0.506647480932034,0.666614009405573,0.402367340676285,0.00387341174763186,0.0107652883256088,0.00389874253321621,0.00384696495917386,2.45330573454593e-115,0,0.00577207889672274,0.00359885477885826,0.00321155750959505,0.00104418707778319,0.00321155750959506,0.00577207889672274,0.00784566169265545,0.00129113724921062,0.00461412196991196,0.00743264627163851,0.00699306410142677,0.00882123858391217
71,0.660853376940203,0.321401767385936,0.65137697251448,0.670233975423048,1.11910071334456e-108,0,0.481510061254803,0.765187341648305,0.797969212517973,0.872232168914841,0.797969212517973,0.481510061254803,0.482909725696393,0.220284458980067,0.623348701451554,0.491457288052594,0.657020396012159,0.400077209211821,0.00385481712333088,0.0107144833713598,0.00387615906567502,0.00383177199396384,6.12956704818938e-108,0,0.00550745745569692,0.00360620272515866,0.0032012643773138,0.00115712517575649,0.00320126437731386,0.00550745745569692,0.00740326112810579,0.00128493904111029,0.00449489098498056,0.00607815177760461,0.00548515370071475,0.00878507774314896
81,0.660748284342817,0.324610055422423,0.651272408373066,0.670128433517413,6.24728624094076e-125,0,0.482929254507591,0.766467233549688,0.798112365477284,0.871826313622444,0.798112365477284,0.482929254507591,0.483920968204589,0.220249428114272,0.624698244028639,0.503701633543715,0.664457276666878,0.402280787502802,0.00383429591108321,0.0094426923838435,0.00384597847886577,0.0038213602473161,3.42177959731005e-124,0,0.00522186846233348,0.00305080429532576,0.00303991309185907,0.00113941442055004,0.00303991309185911,0.00522186846233348,0.00725961111997491,0.00127809863702774,0.00409970801052031,0.0123947838698709,0.00652594702111928,0.00806455546578832
91,0.660467912611059,0.315988668932951,0.650888686041284,0.669949539933073,1.10083088733819e-102,0,0.479608593481284,0.763091045876202,0.797428122025167,0.872670036960335,0.797428122025167,0.479608593481284,0.48179419082927,0.220155970870353,0.621349819678743,0.499873496392798,0.660434476511839,0.396368439168764,0.00386484786121497,0.011098489313777,0.00388942031585563,0.00383962372363109,6.02949759742051e-102,0,0.00560665641412073,0.00373773329596329,0.00549331393513976,0.0010904146706596,0.00549331393513984,0.00560665641412073,0.00759138070538917,0.00128828262040499,0.00459288710145195,0.00840792662704724,0.00638204830271016,0.00905835749188371
101,0.66126981403483,0.324548392807348,0.651810187570648,0.670633669351293,2.6843423781688e-127,0,0.482858576245028,0.766363987806802,0.798114913473646,0.872103032942182,0.798114913473646,0.482858576245028,0.484118985221896,0.220423271344943,0.624611282025915,0.499981915587794,0.664024502818417,0.402396907837387,0.00387090570483628,0.0096476846870644,0.00388945988270521,0.00385036005579359,1.47027485497155e-126,0,0.00524836868024162,0.00315814471131638,0.00311220267145388,0.00113348373649601,0.00311220267145392,0.00524836868024162,0.00735803952669906,0.00129030190161209,0.00414748791849064,0.00763173462242943,0.00757147436611643,0.00808562664441221
